TREATMEN,POISON,SURVTIM,POISNUM,TREATNUM
A,I,.31,1,1
B,I,.82,1,2
C,I,.43,1,3
D,I,.45,1,4
A,II,.36,2,1
B,II,.92,2,2
C,II,.44,2,3
D,II,.56,2,4
A,III,.22,3,1
B,III,.3,3,2
C,III,.23,3,3
D,III,.3,3,4
A,I,.45,1,1
B,I,1.1,1,2
C,I,.45,1,3
D,I,.71,1,4
A,II,.29,2,1
B,II,.61,2,2
C,II,.35,2,3
D,II,1.02,2,4
A,III,.21,3,1
B,III,.37,3,2
C,III,.25,3,3
D,III,.36,3,4
A,I,.46,1,1
B,I,.88,1,2
C,I,.63,1,3
D,I,.66,1,4
A,II,.4,2,1
B,II,.49,2,2
C,II,.31,2,3
D,II,.71,2,4
A,III,.18,3,1
B,III,.38,3,2
C,III,.24,3,3
D,III,.31,3,4
A,I,.43,1,1
B,I,.72,1,2
C,I,.76,1,3
D,I,.62,1,4
A,II,.23,2,1
B,II,1.24,2,2
C,II,.4,2,3
D,II,.38,2,4
A,III,.23,3,1
B,III,.29,3,2
C,III,.22,3,3
D,III,.33,3,4
